,Unnamed: 0,names,quantity,names_encoded,predicted_quantity
264,264.0,EMILY,10,1755,
265,265.0,GILBERT,10,2138,
266,266.0,GRACE,10,2203,
267,267.0,GREY,10,2229,
268,268.0,GUCCI,10,2256,
269,269.0,JAX,10,2594,
270,270.0,JIMMY,10,2664,
271,271.0,JINX,10,2672,
272,272.0,JUPITER,10,2742,
273,273.0,KALI,10,2766,
274,274.0,KITTEN,10,2940,
275,275.0,LICORICE,10,3170,
276,276.0,LOGAN,10,3264,
277,277.0,LYNX,10,3374,
278,278.0,MISO,10,3836,
279,279.0,MOUSE,10,4005,
280,280.0,MURPHY,10,4114,
281,281.0,NINA,10,4271,
282,282.0,NOVA,10,4329,
283,283.0,OPAL,10,4407,
284,284.0,QUINN,10,4917,
285,285.0,ROSE,10,5111,
286,286.0,SALLY,10,5222,
287,287.0,SILVER,10,5478,
288,288.0,SNOWY,10,5586,
289,289.0,SOPHIA,10,5634,
290,290.0,STEVIE,10,5742,
291,291.0,TINKERBELL,10,6070,
292,292.0,ACE,9,20,
293,293.0,ALFRED,9,82,
294,294.0,ARIEL,9,213,
295,295.0,AUDREY,9,266,
296,296.0,BEATRICE,9,434,
297,297.0,BETTY,9,523,
298,298.0,BILLIE,9,559,
299,299.0,BISCUIT,9,584,
300,300.0,BO,9,654,
301,301.0,CLEOPATRA,9,1266,
302,302.0,COOPER,9,1326,
303,303.0,DASH,9,1469,
304,304.0,DELILAH,9,1497,
305,305.0,DIAMOND,9,1529,
306,306.0,DOMINO,9,1588,
307,307.0,EBONY,9,1678,
308,308.0,FIGARO,9,1885,
309,309.0,FIONA,9,1904,
310,310.0,GEMMA,9,2098,
311,311.0,JESSIE,9,2641,
312,312.0,JOSIE,9,2709,
313,313.0,JOY,9,2711,
314,314.0,JUNO,9,2739,
315,315.0,KITKAT,9,2935,
316,316.0,KOKO,9,2984,
317,317.0,LUKE,9,3336,
318,318.0,MAGIC,9,3419,
319,319.0,MARBLES,9,3492,
320,320.0,MOON,9,3968,
321,321.0,MORRIS,9,3982,
322,322.0,NAME?,9,4163,
323,323.0,NEKO,9,4199,
324,324.0,OTIS,9,4442,
325,325.0,PANDORA,9,4481,
326,326.0,PHOENIX,9,4643,
327,327.0,PIP,9,4687,
328,328.0,POLLY,9,4754,
329,329.0,QUEENIE,9,4904,
330,330.0,RAVEN,9,4966,
331,331.0,REMY,9,5003,
332,332.0,RIVER,9,5049,
333,333.0,SABRINA,9,5198,
334,334.0,SAGE,9,5208,
335,335.0,SHERLOCK,9,5429,
336,336.0,SNOW,9,5578,
337,337.0,STITCH,9,5749,
338,338.0,SUKI,9,5778,
339,339.0,TRIXIE,9,6195,
340,340.0,WALLY,9,6368,
341,341.0,XENA,9,6480,
342,342.0,ALEX,8,72,
343,343.0,ANDY,8,146,
344,344.0,ARLO,8,220,
345,345.0,ARYA,8,232,
346,346.0,BIANCA,8,533,
347,347.0,BIBI,8,534,
348,348.0,BUBBA,8,795,
349,349.0,CASSIE,8,989,
350,350.0,CHARLES,8,1070,
351,351.0,CLARA,8,1245,
352,352.0,ECHO,8,1679,
353,353.0,ERNIE,8,1777,
354,354.0,FLORA,8,1939,
355,355.0,FREDDY,8,1993,
356,356.0,GEORGIA,8,2105,
357,357.0,GOOSE,8,2197,
358,358.0,HOPE,8,2442,
359,359.0,JADE,8,2557,
360,360.0,JET,8,2644,
361,361.0,LIAM,8,3164,
362,362.0,LILA,8,3188,
363,363.0,MARCO,8,3499,
364,364.0,MARSHMALLOW,8,3538,
365,365.0,NIKKI,8,4260,
366,366.0,PEDRO,8,4556,
367,367.0,PEKOE,8,4564,
368,368.0,PEPE,8,4577,
369,369.0,PETUNIA,8,4625,
370,370.0,RICKY,8,5031,
371,371.0,ROCKET,8,5065,
372,372.0,RUDY,8,5154,
373,373.0,SCOOTER,8,5315,
374,374.0,SELENA,8,5346,
375,375.0,SPARKLES,8,5656,
376,376.0,SUSIE,8,5809,
377,377.0,SWEETIE,8,5826,
378,378.0,TESSA,8,5963,
379,379.0,TILLY,8,6047,
