names,quantity
MAXI,6 
MERRY,6 
MILKY,6 
MINNOW,6 
MITZI,6 
MITZY,6 
MOOKIE,6 
MOOSE,6 
MOSES,6 
MOWGLI,6 
NACHO,6 
NEMO,6 
NEO,6 
NIKO,6 
ORION,6 
PATCH,6 
PUMA,6 
QUINCY,6 
REESE,6 
RITA,6 
ROGER,6 
RUFUS,6 
SAMSON,6 
SIDNEY,6 
SPICE,6 
SPIRIT,6 
TANNER,6 
THEODORE,6 
TIPPY,6 
TOAST,6 
TOBI,6 
TOFU,6 
TONY,6 
TUCKER,6 
TUXEDO,6 
TYSON,6 
VELVET,6 
VENUS,6 
VINNIE,6 
WALTER,6 
WILLY,6 
WOODY,6 
YODA,6 
ZACH,6 
ZORRO,6 
ABBEY,5 
ALBERT,5 
ASHER,5 
ASPEN,5 
ATTICUS,5 
BALOO,5 
BARNABY,5 
BART,5 
BERNARD,5 
BIJOU,5 
BLOSSOM,5 
BREE,5 
BRUTUS,5 
BUCKY,5 
BUTTER,5 
CASEY,5 
CHANEL,5 
CHECKERS,5 
CHICA,5 
CHRISSY,5 
CINDERELLA,5 
CLOVER,5 
COCONUT,5 
COMET,5 
COPPER,5 
DAHLIA,5 
DAX,5 
DIEGO,5 
DUCKY,5 
ECLIPSE,5 
EDWIN,5 
ELI,5 
EMBER,5 
FANNY,5 
FLUFF,5 
FOXY,5 
FREDERICK,5 
FRIDA,5 
GIDGET,5 
GINA,5 
HALO,5 
HERSHEY,5 
HOWARD,5 
INKY,5 
JACKIE,5 
JACOB,5 
JANE,5 
JAZZ,5 
JENNY,5 
JERSEY,5 
JEWEL,5 
JOLIE,5 
JOSEPHINE,5 
JULIE,5 
KAI,5 
KARMA,5 
KEIRA,5 
KEVIN,5 
KIT,5 
LALA,5 
LATTE,5 
LIGHTNING,5 
LITTLE BEAR,5 
LOUISE,5 
LUCIE,5 
LYLA,5 
MACK,5 
MACY,5 
MAISIE,5 
MARIE,5 
MARILYN,5 
MARLEE,5 
MARTIN,5 
MARY,5 
MATTHEW,5 
MAXIE,5 
MAXINE,5 
MEEKO,5 
MERCEDES,5 
MICAH,5 
MIKE,5 
MILKSHAKE,5 
MINDY,5 
MISCHIEF,5 
MISHKA,5 
MOJO,5 
MONICA,5 
MONTE,5 
MORGAN,5 
NICO,5 
NIMBUS,5 
NOODLE,5 
ODIE,5 
OPHELIA,5 
OTTO,5 
OZZIE,5 
PACO,5 
PASHA,5 
PEACH,5 
PETE,5 
PETER,5 
PICASSO,5 
PIKACHU,5 
PITA,5 
PIXEL,5 
POPCORN,5 
PURRCY,5 
